filename,verdict,ground_truth,failure_mode,reason,latency_ms,border_content_ratio,contrast,fft_asymmetry,fft_hf_ratio,glare_ratio,laplacian_p95,laplacian_var,mean_brightness,tenengrad,wavelet_hh_energy
IMG-20260526-WA0159.jpg,usable,usable,none,image is acceptable,22.41,0.1946,62.3,0.0,0.01,0.0004,6226.02,2490.41,149.88,80.32,74.71
IMG-20260526-WA0160.jpg,borderline,borderline,defocus,image may be slightly blurry,27.32,0.1499,57.03,1.8863,0.004724,0.0,728.48,474.59,149.82,35.67,4.96
IMG-20260526-WA0161.jpg,usable,usable,none,image is acceptable,21.03,0.183,64.94,0.0,0.01,0.0027,8063.95,3225.58,153.34,80.74,96.77
IMG-20260526-WA0162.jpg,usable,usable,none,image is acceptable,21.65,0.2237,55.53,0.0,0.01,0.0013,4126.38,1650.55,151.67,64.47,49.52
IMG-20260526-WA0163.jpg,usable,usable,none,image is acceptable,24.71,0.1853,60.9,0.0,0.01,0.0,5341.15,2136.46,138.79,72.59,64.09
IMG-20260526-WA0164.jpg,usable,usable,none,image is acceptable,25.71,0.193,56.81,0.0,0.01,0.0,4933.55,1973.42,149.05,69.37,59.2
IMG-20260526-WA0173.jpg,usable,borderline,defocus,image is acceptable,22.31,0.2054,60.66,0.0,0.01,0.0103,3328.05,1331.22,146.51,61.77,39.94
IMG-20260526-WA0174.jpg,usable,borderline,defocus,image is acceptable,32.57,0.1915,58.66,0.4735,0.007527,0.0007,1569.55,1110.31,148.51,59.72,32.72
IMG-20260526-WA0175.jpg,usable,usable,none,image is acceptable,28.56,0.128,68.0,1.2261,0.008021,0.0004,1390.0,933.2,138.21,46.8,24.96
IMG-20260526-WA0176.jpg,usable,usable,none,image is acceptable,19.94,0.1389,64.42,0.0,0.01,0.0033,4030.88,1612.35,142.93,55.47,48.37
IMG-20260526-WA0177.jpg,usable,usable,none,image is acceptable,29.08,0.1378,66.67,1.2675,0.005261,0.0079,2246.94,1244.77,153.64,51.72,37.7
IMG-20260526-WA0178.jpg,usable,usable,none,image is acceptable,25.51,0.1484,63.74,0.7092,0.005888,0.0,1990.6,1118.98,151.22,46.11,28.66
IMG-20260526-WA0179.jpg,usable,usable,none,image is acceptable,26.64,0.0942,61.98,3.6359,0.004131,0.0,1673.44,983.07,156.5,44.18,27.78
IMG-20260526-WA0180.jpg,usable,usable,none,image is acceptable,26.98,0.1388,62.64,0.7337,0.005957,0.0,1342.41,968.62,153.39,43.87,25.89
IMG-20260526-WA0181.jpg,borderline,usable,none,image may be slightly blurry,25.47,0.1077,58.1,7.0412,0.003944,0.0003,1318.03,637.38,166.5,33.54,13.15
IMG-20260526-WA0182.jpg,usable,usable,none,image is acceptable,19.93,0.2218,37.92,0.0,0.01,0.0,5780.95,2312.38,156.75,82.79,69.37
IMG-20260526-WA0183.jpg,usable,usable,none,image is acceptable,21.9,0.2981,36.92,0.0,0.01,0.0,7372.62,2949.05,158.26,87.51,88.47
IMG-20260526-WA0184.jpg,usable,usable,none,image is acceptable,22.28,0.311,41.18,0.0,0.01,0.0,6599.92,2639.97,151.63,97.8,79.2
